X,Y,ObjectId,Store_Name,Address,City,State,Zip5,Zip4,County,Longitude,Latitude
-77.381409,37.204044,244178,Save-A-Lot ,2001 S Crater Rd,Petersburg,VA,23805,2703,PETERSBURG,-77.381409,37.204044
-77.408241,37.22419,219473,Essential Market Llc,325 Brown St,Petersburg,VA,23803,4234,PETERSBURG,-77.408241,37.22419
-77.379135,37.202381,225933,DOLLARTREE 8694,2141 S Crater Rd,Petersburg,VA,23805,2701,PETERSBURG,-77.379135,37.202381
-77.364426,37.23962,234166,Stop & Go Store,2328 E Washington St,Petersburg,VA,23803,3775,PETERSBURG,-77.364426,37.23962
-77.391418,37.230541,236058,Market Place 102,1 S Crater Rd,Petersburg,VA,23803,4419,PETERSBURG,-77.391418,37.230541
-77.381966,37.202896,175314,J AND J SEAFOOD MARKET,2034 S Sycamore St,Petersburg,VA,23805,2727,PETERSBURG,-77.381966,37.202896
-77.367554,37.215797,90304,Tierra Del Sol Latino Market & Cocina,2118A County Dr,Petersburg,VA,23803,4708,PETERSBURG,-77.367554,37.215797
-77.426773,37.200878,91522,Town & Country 3 Llc,1908 Boydton Plank Rd,Petersburg,VA,23805,8918,PETERSBURG,-77.426773,37.200878
-77.380531,37.203636,73921,Family Dollar 3422,2075 S Crater Rd,Petersburg,VA,23805,2703,PETERSBURG,-77.380531,37.203636
-77.360214,37.174503,67502,Mobile Express Iii,3825 S Crater Rd,Petersburg,VA,23805,9203,PETERSBURG,-77.360214,37.174503
